# Summary
file	blocks	japanese_runs
ADV.DAT	0x214100	193	黑褥汜 | 橫褥 | 涛涛涛 | 係訳黑 | 粐錥
ADV.DAT	0x2165B0	197	頏顥 | 靍頤靍 | 撈撈撈 | 従滬 | 靕靍
ADV.DAT	0x218A50	196	休尭 | 疹懼 | 聶瀇 | 碣星 | 煇恊
ADV.DAT	0x21AF70	120	潟潟ァ | 恬悵 | 潟ャャャャャャャャャャャャヤ | 嘯血 | 居桁
ADV.DAT	0x21CC60	118	悄乱物 | 柑遐 | 挟掃 | 煙欠 | 煙延
ADV.DAT	0x21E950	133	屁決 | 弓境 | 亘つ | 継夘 | 濫黑
ADV.DAT	0x220AF0	134	屁幕 | 悦黄 | 璧雍 | 却凖 | 欄湜
ADV.DAT	0x222CD0	105	ュャュム | ャュ | 振発 | ャャュ | 楳ャャ
ADV.DAT	0x224E90	93	典闘 | 塩潤 | 澵橆 | 延演 | 鏑問
ADV.DAT	0x2270A0	200	驎驎 | 驎驎泚 | 驎驎泚 | 驎驎泚 | 驎馞
ADV.DAT	0x2292F0	181	驎驎 | 驎驎泚 | 驎驎泚 | 驎驎泚 | 驎馞
ADV.DAT	0x22B490	190	驎洄 | 驎驎泚 | 驎驎泚 | 驎馞泚 | 馞馞
ADV.DAT	0x22D630	107	試倹盈 | 試詞 | 錘試桁潔 | 煙血血怨猿私 | 楳警
ADV.DAT	0x22F380	84	聒栩 | 満幕 | 窶扱粹 | 棉筐 | 聽諡
ADV.DAT	0x231100	293	糀筵 | 揀攫 | 晏醪 | 苑撕 | 籔や穢
ADV.DAT	0x233A80	295	瑙爍 | 璞橳 | 浴崕 | 吹尢 | 澵煆
ADV.DAT	0x236410	277	吶賣 | 椁球椋 | 卜鱶 | 尉胙 | 跏鱶跋鮗
ADV.DAT	0x238D00	297	碚皃 | 磔靃 | 凵椽 | 剄鎌 | 跣翕熟
ADV.DAT	0x23B630	266	碚癶 | 磔靃 | 泓剛侶 | 跣翆嗣 | 用鱠
